Timestamp,UART Data
1692983653,"27.48,492640.00"
1692983653,"27.60,492648.00"
1692983653,"27.59,492656.00"
1692983653,"27.49,492664.00"
1692983653,"27.62,492672.00"
1692983653,"27.46,492680.00"
1692983653,"27.61,492688.00"
1692983653,"27.59,492696.00"
1692983653,"27.51,492704.00"
1692983653,"27.69,492712.00"
1692983653,"27.51,492720.00"
1692983653,"27.64,492728.00"
1692983653,"27.62,492736.00"
1692983653,"27.53,492744.00"
1692983653,"27.70,492752.00"
1692983653,"27.51,492760.00"
1692983653,"27.64,492768.00"
1692983653,"27.62,492776.00"
1692983653,"27.52,492784.00"
1692983653,"27.70,492792.00"
1692983653,"27.52,492800.00"
1692983653,"27.66,492808.00"
1692983653,"27.64,492816.00"
1692983653,"27.54,492824.00"
1692983653,"27.70,492832.00"
1692983653,"27.51,492840.00"
1692983653,"27.64,492848.00"
1692983653,"27.61,492856.00"
1692983653,"27.51,492864.00"
1692983653,"27.68,492872.00"
1692983653,"27.49,492880.00"
1692983653,"27.59,492888.00"
1692983653,"27.55,492896.00"
1692983653,"27.46,492904.00"
1692983653,"27.61,492912.00"
1692983653,"27.45,492920.00"
1692983653,"27.57,492928.00"
1692983653,"27.55,492936.00"
1692983653,"27.46,492944.00"
1692983653,"27.62,492952.00"
1692983653,"27.45,492960.00"
1692983653,"27.58,492968.00"
1692983653,"27.54,492976.00"
1692983653,"27.40,492984.00"
1692983653,"27.58,492992.00"
1692983653,"27.40,493000.00"
1692983653,"27.55,493008.00"
1692983653,"27.56,493016.00"
1692983653,"27.50,493024.00"
1692983653,"27.70,493032.00"
1692983653,"27.53,493040.00"
1692983653,"27.66,493048.00"
1692983653,"27.65,493056.00"
1692983653,"27.55,493064.00"
1692983653,"27.75,493072.00"
1692983653,"27.47,493080.00"
1692983653,"27.24,493088.00"
1692983653,"26.49,493096.00"
1692983653,"25.82,493104.00"
1692983653,"26.54,493112.00"
1692983653,"27.12,493120.00"
1692983653,"27.43,493128.00"
1692983654,"27.46,493136.00"
1692983654,"27.40,493144.00"
1692983654,"27.62,493152.00"
1692983654,"27.46,493160.00"
1692983654,"27.59,493168.00"
1692983654,"27.58,493176.00"
1692983654,"27.48,493184.00"
1692983654,"27.65,493192.00"
1692983654,"27.46,493200.00"
1692983654,"27.57,493208.00"
1692983654,"27.54,493216.00"
1692983654,"27.42,493224.00"
1692983654,"27.59,493232.00"
1692983654,"27.39,493240.00"
1692983654,"27.50,493248.00"
1692983654,"27.47,493256.00"
1692983654,"27.36,493264.00"
1692983654,"27.51,493272.00"
1692983654,"27.30,493280.00"
1692983654,"27.40,493288.00"
1692983654,"27.36,493296.00"
1692983654,"27.25,493304.00"
1692983654,"27.41,493312.00"
1692983654,"27.21,493320.00"
1692983654,"27.34,493328.00"
1692983654,"27.33,493336.00"
1692983654,"27.25,493344.00"
1692983654,"27.45,493352.00"
1692983654,"27.31,493360.00"
1692983654,"27.47,493368.00"
1692983654,"27.50,493376.00"
1692983654,"27.43,493384.00"
1692983654,"27.63,493392.00"
1692983654,"27.46,493400.00"
1692983654,"27.59,493408.00"
1692983654,"27.58,493416.00"
1692983654,"27.48,493424.00"
1692983654,"27.67,493432.00"
1692983654,"27.48,493440.00"
1692983654,"27.61,493448.00"
1692983654,"27.60,493456.00"
1692983654,"27.50,493464.00"
1692983654,"27.68,493472.00"
1692983654,"27.48,493480.00"
1692983654,"27.60,493488.00"
1692983654,"27.59,493496.00"
1692983654,"27.48,493504.00"
1692983654,"27.65,493512.00"
1692983654,"27.47,493520.00"
1692983654,"27.59,493528.00"
1692983654,"27.58,493536.00"
1692983654,"27.48,493544.00"
1692983654,"27.66,493552.00"
1692983654,"27.47,493560.00"
1692983654,"27.59,493568.00"
1692983654,"27.59,493576.00"
1692983654,"27.48,493584.00"
1692983654,"27.67,493592.00"
1692983654,"27.48,493600.00"
1692983654,"27.61,493608.00"
1692983654,"27.59,493616.00"
1692983654,"27.50,493624.00"
1692983654,"27.69,493632.00"
1692983654,"27.51,493640.00"
1692983654,"27.63,493648.00"
1692983654,"27.62,493656.00"
1692983654,"27.51,493664.00"
1692983654,"27.69,493672.00"
1692983654,"27.51,493680.00"
1692983654,"27.63,493688.00"
1692983654,"27.62,493696.00"
1692983654,"27.51,493704.00"
1692983654,"27.69,493712.00"
1692983654,"27.52,493720.00"
1692983654,"27.64,493728.00"
1692983654,"27.63,493736.00"
1692983654,"27.53,493744.00"
1692983654,"27.70,493752.00"
1692983654,"27.52,493760.00"
1692983654,"27.64,493768.00"
1692983654,"27.64,493776.00"
1692983654,"27.53,493784.00"
1692983654,"27.71,493792.00"
1692983654,"27.52,493800.00"
1692983654,"27.64,493808.00"
1692983654,"27.63,493816.00"
1692983654,"27.53,493824.00"
1692983654,"27.71,493832.00"
1692983654,"27.53,493840.00"
1692983654,"27.64,493848.00"
1692983654,"27.64,493856.00"
1692983654,"27.54,493864.00"
1692983654,"27.71,493872.00"
1692983654,"27.53,493880.00"
1692983654,"27.65,493888.00"
1692983654,"27.65,493896.00"
1692983654,"27.54,493904.00"
1692983654,"27.72,493912.00"
1692983654,"27.54,493920.00"
1692983654,"27.66,493928.00"
1692983654,"27.65,493936.00"
1692983654,"27.54,493944.00"
1692983654,"27.72,493952.00"
1692983654,"27.52,493960.00"
1692983654,"27.62,493968.00"
1692983654,"27.61,493976.00"
1692983654,"27.48,493984.00"
1692983654,"27.63,493992.00"
1692983654,"27.41,494000.00"
1692983654,"27.52,494008.00"
1692983654,"27.53,494016.00"
1692983654,"27.46,494024.00"
1692983654,"27.66,494032.00"
1692983654,"27.52,494040.00"
1692983654,"27.67,494048.00"
1692983654,"27.67,494056.00"
1692983654,"27.57,494064.00"
1692983654,"27.75,494072.00"
1692983654,"27.58,494080.00"
1692983654,"27.69,494088.00"
1692983654,"27.50,494096.00"
1692983654,"26.90,494104.00"
1692983654,"26.31,494112.00"
1692983654,"25.91,494120.00"
1692983654,"26.85,494128.00"
1692983655,"27.37,494136.00"
1692983655,"27.37,494144.00"
1692983655,"27.59,494152.00"
1692983655,"27.44,494160.00"
1692983655,"27.58,494168.00"
1692983655,"27.59,494176.00"
1692983655,"27.50,494184.00"
1692983655,"27.68,494192.00"
1692983655,"27.49,494200.00"
1692983655,"27.61,494208.00"
1692983655,"27.60,494216.00"
1692983655,"27.48,494224.00"
1692983655,"27.65,494232.00"
1692983655,"27.46,494240.00"
1692983655,"27.56,494248.00"
1692983655,"27.54,494256.00"
1692983655,"27.41,494264.00"
1692983655,"27.57,494272.00"
1692983655,"27.38,494280.00"
1692983655,"27.47,494288.00"
1692983655,"27.44,494296.00"
1692983655,"27.31,494304.00"
1692983655,"27.47,494312.00"
1692983655,"27.27,494320.00"
1692983655,"27.37,494328.00"
1692983655,"27.37,494336.00"
1692983655,"27.25,494344.00"
1692983655,"27.45,494352.00"
1692983655,"27.29,494360.00"
1692983655,"27.44,494368.00"
1692983655,"27.48,494376.00"
1692983655,"27.40,494384.00"
1692983655,"27.62,494392.00"
1692983655,"27.47,494400.00"
1692983655,"27.60,494408.00"
1692983655,"27.61,494416.00"
1692983655,"27.52,494424.00"
1692983655,"27.71,494432.00"
1692983655,"27.54,494440.00"
1692983655,"27.65,494448.00"
1692983655,"27.65,494456.00"
1692983655,"27.54,494464.00"
1692983655,"27.72,494472.00"
1692983655,"27.54,494480.00"
1692983655,"27.65,494488.00"
1692983655,"27.64,494496.00"
1692983655,"27.53,494504.00"
1692983655,"27.70,494512.00"
1692983655,"27.52,494520.00"
1692983655,"27.63,494528.00"
1692983655,"27.63,494536.00"
1692983655,"27.51,494544.00"
1692983655,"27.69,494552.00"
1692983655,"27.52,494560.00"
1692983655,"27.64,494568.00"
1692983655,"27.63,494576.00"
1692983655,"27.53,494584.00"
1692983655,"27.71,494592.00"
1692983655,"27.53,494600.00"
1692983655,"27.65,494608.00"
1692983655,"27.66,494616.00"
1692983655,"27.55,494624.00"
1692983655,"27.73,494632.00"
1692983655,"27.55,494640.00"
1692983655,"27.67,494648.00"
1692983655,"27.67,494656.00"
1692983655,"27.56,494664.00"
1692983655,"27.74,494672.00"
1692983655,"27.56,494680.00"
1692983655,"27.68,494688.00"
1692983655,"27.68,494696.00"
1692983655,"27.57,494704.00"
1692983655,"27.75,494712.00"
1692983655,"27.57,494720.00"
1692983655,"27.69,494728.00"
1692983655,"27.69,494736.00"
1692983655,"27.57,494744.00"
1692983655,"27.76,494752.00"
1692983655,"27.57,494760.00"
1692983655,"27.69,494768.00"
1692983655,"27.69,494776.00"
1692983655,"27.58,494784.00"
1692983655,"27.76,494792.00"
1692983655,"27.58,494800.00"
1692983655,"27.70,494808.00"
1692983655,"27.70,494816.00"
1692983655,"27.58,494824.00"
1692983655,"27.77,494832.00"
1692983655,"27.58,494840.00"
1692983655,"27.69,494848.00"
1692983655,"27.70,494856.00"
1692983655,"27.59,494864.00"
1692983655,"27.78,494872.00"
1692983655,"27.59,494880.00"
1692983655,"27.70,494888.00"
1692983655,"27.71,494896.00"
1692983655,"27.59,494904.00"
1692983655,"27.77,494912.00"
1692983655,"27.59,494920.00"
1692983655,"27.71,494928.00"
1692983655,"27.71,494936.00"
1692983655,"27.61,494944.00"
1692983655,"27.78,494952.00"
1692983655,"27.59,494960.00"
1692983655,"27.68,494968.00"
1692983655,"27.67,494976.00"
1692983655,"27.54,494984.00"
1692983655,"27.68,494992.00"
1692983655,"27.46,495000.00"
1692983655,"27.57,495008.00"
1692983655,"27.59,495016.00"
1692983655,"27.51,495024.00"
1692983655,"27.72,495032.00"
1692983655,"27.58,495040.00"
1692983655,"27.72,495048.00"
1692983655,"27.72,495056.00"
1692983655,"27.61,495064.00"
1692983655,"27.80,495072.00"
1692983655,"27.64,495080.00"
1692983655,"27.69,495088.00"
1692983655,"27.42,495096.00"
1692983655,"26.68,495104.00"
1692983655,"26.18,495112.00"
1692983655,"26.20,495120.00"
1692983655,"27.15,495128.00"
1692983656,"27.47,495136.00"
1692983656,"27.43,495144.00"
1692983656,"27.65,495152.00"
1692983656,"27.50,495160.00"
1692983656,"27.64,495168.00"
1692983656,"27.66,495176.00"
1692983656,"27.54,495184.00"
1692983656,"27.73,495192.00"
1692983656,"27.54,495200.00"
1692983656,"27.65,495208.00"
1692983656,"27.64,495216.00"
1692983656,"27.51,495224.00"
1692983656,"27.68,495232.00"
1692983656,"27.49,495240.00"
1692983656,"27.58,495248.00"
1692983656,"27.57,495256.00"
1692983656,"27.44,495264.00"
1692983656,"27.61,495272.00"
1692983656,"27.41,495280.00"
1692983656,"27.50,495288.00"
1692983656,"27.48,495296.00"
1692983656,"27.34,495304.00"
1692983656,"27.51,495312.00"
1692983656,"27.32,495320.00"
1692983656,"27.42,495328.00"
1692983656,"27.42,495336.00"
1692983656,"27.31,495344.00"
1692983656,"27.51,495352.00"
1692983656,"27.36,495360.00"
1692983656,"27.50,495368.00"
1692983656,"27.54,495376.00"
1692983656,"27.46,495384.00"
1692983656,"27.67,495392.00"
1692983656,"27.51,495400.00"
1692983656,"27.64,495408.00"
1692983656,"27.67,495416.00"
1692983656,"27.56,495424.00"
1692983656,"27.74,495432.00"
1692983656,"27.57,495440.00"
1692983656,"27.68,495448.00"
1692983656,"27.68,495456.00"
